model,task,repeat,arm,passed,generation_calls,generation_tokens,standalone_preparation_tokens,source,record,record_sha256,original_record
gpt4o,eda_208,3,analogcoder,False,1,2801,0,formal-v1,records/units/gpt4o/eda_208/3/analogcoder/record.json,4f234a129a91f434020a5ecd18b99aea32405249ef5fef91eae03b99691d1683,formal-v1/units/gpt4o/eda_208/3/analogcoder/record.json
gpt4o,eda_208,3,spicepilot,False,3,13185,0,formal-v1,records/units/gpt4o/eda_208/3/spicepilot/record.json,786049ba474f70ba86149045cdbd41f18f0516b2e06705da4cb3ccc5182814eb,formal-v1/units/gpt4o/eda_208/3/spicepilot/record.json
gpt4o,eda_208,3,direct,False,3,2696,0,formal-v1,records/units/gpt4o/eda_208/3/direct/record.json,5c7f379f378fef1e9e66f731b74b467a169f77c22527a0b5f643b222d204125d,formal-v1/units/gpt4o/eda_208/3/direct/record.json
gpt4o,eda_208,2,analogcoder,False,1,2720,0,formal-v1,records/units/gpt4o/eda_208/2/analogcoder/record.json,a19f0027ced2d7c80628310f36480c6919322dd1b0e283ef09050a56f71e7d0c,formal-v1/units/gpt4o/eda_208/2/analogcoder/record.json
gpt4o,eda_208,2,spicepilot,False,3,13336,0,formal-v1,records/units/gpt4o/eda_208/2/spicepilot/record.json,8fb5a9cee2accb08c69bc7ed2789eb5434f3c136baf672100cc8b44f860931a8,formal-v1/units/gpt4o/eda_208/2/spicepilot/record.json
gpt4o,eda_208,2,direct,False,3,2488,0,formal-v1,records/units/gpt4o/eda_208/2/direct/record.json,d553761f27ce5e4e9c4971a125e3b86f42b5328f86ce7ab1a2073cc453899d87,formal-v1/units/gpt4o/eda_208/2/direct/record.json
gpt4o,eda_005,1,analogcoder,False,1,2536,0,formal-v1,records/units/gpt4o/eda_005/1/analogcoder/record.json,03b44a670712b7f5506dbe40c3a11c438b2479a01839b55374dc3cb5a3190bce,formal-v1/units/gpt4o/eda_005/1/analogcoder/record.json
gpt4o,eda_005,1,spicepilot,False,3,12683,0,formal-v1,records/units/gpt4o/eda_005/1/spicepilot/record.json,0db6dfb0eba1137dab5a2fac7c3ecac4a72fdcbfe52989d06353aa7d6652ce95,formal-v1/units/gpt4o/eda_005/1/spicepilot/record.json
gpt4o,eda_005,1,direct,False,3,1959,0,formal-v1,records/units/gpt4o/eda_005/1/direct/record.json,ac093111eb7672895293544d2ae9fce4a633776a59b27f67234ed55f5d920e1a,formal-v1/units/gpt4o/eda_005/1/direct/record.json
gpt4o,eda_005,3,analogcoder,False,1,2527,0,formal-v1,records/units/gpt4o/eda_005/3/analogcoder/record.json,9c0722321547f277f1d8f78fd83d6d269d2cb1c5abb7dcdfb79aa567443e79ce,formal-v1/units/gpt4o/eda_005/3/analogcoder/record.json
